[13:18:16] *** Tentative de connexion à tardis.swiftirc.net:6697 (SSL=True)...
[13:18:16] *** [DEBUG] all_raw_messages | Source:  | Target: None | Args: [':tardis.en.uk.SwiftIRC.net NOTICE * :*** Looking up your hostname...']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 005 LoggerBot EXCEPTS EXTBAN=~,acfjmnpqrtCFGOST INVEX KICKLEN=307 KNOCK MAP MAXLIST=b:100,e:100,I:100 MAXNICKLEN=30 MINNICKLEN=0 MODES=12 MONITOR=128 MSGREFTYPES=msgid,timestamp :are supported by this server']
[13:18:18] *** [DEBUG] featurelist | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['EXCEPTS', 'EXTBAN=~,acfjmnpqrtCFGOST', 'INVEX', 'KICKLEN=307', 'KNOCK', 'MAP', 'MAXLIST=b:100,e:100,I:100', 'MAXNICKLEN=30', 'MINNICKLEN=0', 'MODES=12', 'MONITOR=128', 'MSGREFTYPES=msgid,timestamp', 'are supported by this server']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 005 LoggerBot NAMELEN=50 NAMESX NETWORK=SwiftIRC NICKLEN=30 PREFIX=(qaohv)~&@%+ QUITLEN=307 SAFELIST SILENCE=10 STATUSMSG=~&@%+ TARGMAX=DCCALLOW:,ISON:,JOIN:,KICK:4,KILL:,LIST:,NAMES:1,NOTICE:1,PART:,PRIVMSG:4,SAJOIN:,SAPART:,TAGMSG:1,USERHOST:,USERIP:,WATCH:,WHOIS:1,WHOWAS:1 TOPICLEN=360 UHNAMES :are supported by this server']
[13:18:18] *** [DEBUG] featurelist | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['NAMELEN=50', 'NAMESX', 'NETWORK=SwiftIRC', 'NICKLEN=30', 'PREFIX=(qaohv)~&@%+', 'QUITLEN=307', 'SAFELIST', 'SILENCE=10', 'STATUSMSG=~&@%+', 'TARGMAX=DCCALLOW:,ISON:,JOIN:,KICK:4,KILL:,LIST:,NAMES:1,NOTICE:1,PART:,PRIVMSG:4,SAJOIN:,SAPART:,TAGMSG:1,USERHOST:,USERIP:,WATCH:,WHOIS:1,WHOWAS:1', 'TOPICLEN=360', 'UHNAMES', 'are supported by this server']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 005 LoggerBot USERIP WALLCHOPS WATCH=128 WATCHOPTS=A WHOX :are supported by this server']
[13:18:18] *** [DEBUG] featurelist | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['USERIP', 'WALLCHOPS', 'WATCH=128', 'WATCHOPTS=A', 'WHOX', 'are supported by this server']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 396 LoggerBot Swift-3B2F49EE.w90-14.abo.wanadoo.fr :is now your displayed host']
[13:18:18] *** [DEBUG] 396 | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['Swift-3B2F49EE.w90-14.abo.wanadoo.fr', 'is now your displayed host']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net NOTICE LoggerBot :*** You are connected to tardis.en.uk.SwiftIRC.net with TLSv1.3-TLS_CHACHA20_POLY1305_SHA256']
[13:18:18] *** [DEBUG] privnotice | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['*** You are connected to tardis.en.uk.SwiftIRC.net with TLSv1.3-TLS_CHACHA20_POLY1305_SHA256']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 251 LoggerBot :There are 5 users and 329 invisible on 4 servers']
[13:18:18] *** [DEBUG] luserclient | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['There are 5 users and 329 invisible on 4 servers']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 252 LoggerBot 50 :operator(s) online']
[13:18:18] *** [DEBUG] luserop | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['50', 'operator(s) online']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 254 LoggerBot 358 :channels formed']
[13:18:18] *** [DEBUG] luserchannels | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['358', 'channels formed']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 255 LoggerBot :I have 113 clients and 0 servers']
[13:18:18] *** [DEBUG] luserme | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['I have 113 clients and 0 servers']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 265 LoggerBot 113 227 :Current local users 113, max 227']
[13:18:18] *** [DEBUG] n_local | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['113', '227', 'Current local users 113, max 227']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 266 LoggerBot 334 417 :Current global users 334, max 417']
[13:18:18] *** [DEBUG] n_global | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['334', '417', 'Current global users 334, max 417']
[13:18:18] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 375 LoggerBot :- tardis.en.uk.SwiftIRC.net Message of the Day - ']
[13:18:18] *** [DEBUG] motdstart | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- tardis.en.uk.SwiftIRC.net Message of the Day - ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- 14/9/2023 20:50']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- 14/9/2023 20:50']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- --------------------------------------------------------']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- --------------------------------------------------------']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    Welcome to SwiftIRC - Where Gaming and Programming Unite!']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    Welcome to SwiftIRC - Where Gaming and Programming Unite!']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- --------------------------------------------------------']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- --------------------------------------------------------']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- Network Name: SwiftIRC']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- Network Name: SwiftIRC']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- Available Ports: 4443 (TLS Websockets), 6666-6669, 6697 (TLS), 7000, 8080']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- Available Ports: 4443 (TLS Websockets), 6666-6669, 6697 (TLS), 7000, 8080']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- Main Focus: Gaming, Programming, and Systems Enthusiasts']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- Main Focus: Gaming, Programming, and Systems Enthusiasts']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- --------------------------------------------------------']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- --------------------------------------------------------']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- Greetings, fellow chat enthusiasts! 🎮💻']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- Greetings, fellow chat enthusiasts! 🎮💻']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [":tardis.en.uk.SwiftIRC.net 372 LoggerBot :- At SwiftIRC, we're all about the exciting worlds of gaming and programming, and we're thrilled to have you join our vibrant community."]
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ["- At SwiftIRC, we're all about the exciting worlds of gaming and programming, and we're thrilled to have you join our vibrant community."]
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [":tardis.en.uk.SwiftIRC.net 372 LoggerBot :- Whether you're here to discuss your latest gaming adventures, share coding insights, or dive into the intricacies of systems, you've found your new online home."]
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ["- Whether you're here to discuss your latest gaming adventures, share coding insights, or dive into the intricacies of systems, you've found your new online home."]
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- Here are a few things you should know:']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- Here are a few things you should know:']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- 🌐 Available Ports:']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- 🌐 Available Ports:']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Standard IRC Ports: 6666-6669']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Standard IRC Ports: 6666-6669']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Secure IRC (TLS): 6697']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Secure IRC (TLS): 6697']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Websockets (TLS): 4443']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Websockets (TLS): 4443']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Additional Ports: 7000, 8080']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Additional Ports: 7000, 8080']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- 🎮 Gaming:']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- 🎮 Gaming:']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Share your favorite gaming moments.']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Share your favorite gaming moments.']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Discuss strategies, tips, and game recommendations.']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Discuss strategies, tips, and game recommendations.']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Find fellow gamers to team up with.']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Find fellow gamers to team up with.']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Gaming events and tournaments await!']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Gaming events and tournaments await!']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- 💻 Programming:']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- 💻 Programming:']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Exchange ideas and solutions with programmers.']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Exchange ideas and solutions with programmers.']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Explore coding languages, libraries, and frameworks.']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Explore coding languages, libraries, and frameworks.']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Collaborate on open-source projects.']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Collaborate on open-source projects.']
[13:18:19] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Get help with coding challenges and debugging.']
[13:18:19] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Get help with coding challenges and debugging.']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- 🔧 Systems:']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- 🔧 Systems:']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Dive into the world of systems administration.']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Dive into the world of systems administration.']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Discuss server management, networking, and security.']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Discuss server management, networking, and security.']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Learn from experienced sysadmins.']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Learn from experienced sysadmins.']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :-    - Troubleshoot and optimize your systems.']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['-    - Troubleshoot and optimize your systems.']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- Remember, our community thrives on respect, inclusivity, and the joy of sharing knowledge.']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- Remember, our community thrives on respect, inclusivity, and the joy of sharing knowledge.']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- Please familiarize yourself with our network rules and guidelines, which can be found in our /rules command.']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- Please familiarize yourself with our network rules and guidelines, which can be found in our /rules command.']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [':tardis.en.uk.SwiftIRC.net 372 LoggerBot :- ']
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ['- ']
[13:18:20] *** [DEBUG] all_raw_messages | Source: tardis.en.uk.SwiftIRC.net | Target: None | Args: [":tardis.en.uk.SwiftIRC.net 372 LoggerBot :- If you have any questions or need assistance, don't hesitate to ask our friendly staff or fellow members."]
[13:18:20] *** [DEBUG] motd | Source: tardis.en.uk.SwiftIRC.net | Target: LoggerBot | Args: ["- If you have any questions or need assistance, don't hesitate to ask our friendly staff or fellow members."]
